,LI_chr,LI_dis,LI_soc,LI_previous
1168,0,0,200,0
1169,0,0,200,0
1170,0,50,200,0
1171,0,50,150,1
1172,0,50,100,1
1173,0,50,50,1
1174,0,0,0,1
1175,0,0,0,0
1176,0,0,0,0
1177,0,0,0,0
1178,0,0,0,0
1179,0,0,0,0
1180,0,0,0,0
1181,0,0,0,0
1182,0,0,0,0
1183,0,0,0,0
1184,0,0,0,0
1185,0,0,0,0
1186,50,0,0,0
1187,50,0,42.5,-1
1188,50,0,85,-1
1189,50,0,127.5,-1
1190,35.29411765,0,170,-1
1191,0,0,200,-0.705882353
1192,0,0,200,0
1193,0,0,200,0
1194,0,50,200,0
1195,0,50,150,1
1196,0,50,100,1
1197,0,50,50,1
1198,0,0,0,1
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,0
1202,50,0,0,0
1203,17.64705882,0,42.5,-1
1204,50,0,57.5,-0.352941176
1205,0,0,100,-1
1206,0,0,100,0
1207,0,50,100,0
1208,0,50,50,1
1209,0,0,0,1
1210,0,0,0,0
1211,50,0,0,0
1212,50,0,42.5,-1
1213,50,0,85,-1
1214,50,0,127.5,-1
1215,35.29411765,0,170,-1
1216,0,0,200,-0.705882353
